Date, Sleep Time, Wake Time, Hours,Note
08/25/14,06:30,10:30,4.0,
08/25/14,23:02,05:54,6.86,
08/24/14,21:47,07:36,9.82,
08/23/14,23:13,07:40,8.44,
08/22/14,23:10,06:19,7.13,
08/21/14,22:58,06:15,7.27,
08/20/14,23:07,06:17,7.15,
08/19/14,22:01,06:15,8.23,
08/18/14,22:21,06:15,7.88,
08/17/14,00:37,08:58,8.34,
08/16/14,00:44,09:05,8.34,
08/15/14,22:13,06:15,8.02,
08/14/14,22:12,06:15,8.03,
08/13/14,22:41,06:16,7.57,
08/12/14,22:18,06:15,7.94,
08/11/14,22:22,06:15,7.87,
08/08/14,22:59,06:15,7.25,
08/07/14,22:35,06:15,7.66,
08/06/14,22:30,06:15,7.74,
08/05/14,22:35,06:08,7.53,
08/04/14,00:01,10:05,10.0,
08/03/14,00:29,08:30,8.02,
08/03/14,00:05,00:05,5.55,
08/02/14,23:56,06:14,6.31,
08/01/14,22:50,06:15,7.40,
07/31/14,23:14,06:15,7.01,
07/30/14,22:22,06:15,7.89,
07/29/14,22:33,06:15,7.70,
07/28/14,22:23,06:15,7.85,
07/27/14,23:44,08:23,8.65,
07/26/14,00:45,07:17,6.53,
07/25/14,21:59,06:15,8.26,
07/24/14,22:12,06:15,8.04,
07/23/14,22:14,06:15,8.01,
07/22/14,22:57,06:15,7.29,
07/21/14,22:09,06:15,8.09,
07/20/14,00:48,08:59,8.17,
07/19/14,23:44,09:46,10.0,
07/18/14,22:48,06:15,7.44,
07/17/14,22:36,06:15,7.64,
07/16/14,23:05,06:15,7.17,
07/15/14,22:10,06:15,8.08,
07/14/14,22:25,06:15,7.82,
07/13/14,23:03,08:39,9.60,
07/11/14,22:56,06:15,7.30,
07/10/14,23:09,06:15,7.10,
07/09/14,22:40,06:00,7.33,
07/08/14,23:06,06:15,7.14,
07/07/14,21:22,06:15,8.87,
07/06/14,00:25,08:09,7.72,
07/05/14,00:03,08:35,8.52,
07/04/14,22:37,06:15,7.62,
07/03/14,22:33,06:15,7.69,
